Data;open_x;high_x;low_x;close_x;volume_x;open_y;high_y;low_y;close_y;volume_y;;;;;
23/02/2021 17:20;5479.35;5480.86;5473.81;5474.82;929397170.00;115861.56;116062.55;115826.38;116047.48;3458031767.80;;;;;
23/02/2021 17:25;5474.82;5477.84;5474.31;5474.82;774112305.00;116047.48;116117.82;116002.25;116042.45;2820991442.44;;;;;
23/02/2021 17:30;5474.82;5477.84;5472.30;5476.83;756235995.00;116037.43;116112.80;115921.86;115957.03;3008015061.19;;;;;
23/02/2021 17:35;5476.33;5480.36;5476.33;5478.85;761200920.00;115962.05;116087.67;115921.86;116037.43;2270646876.36;;;;;
23/02/2021 17:40;5478.85;5483.88;5478.34;5481.87;777853955.00;116042.45;116097.72;115836.43;115916.83;3520702572.72;;;;;
23/02/2021 17:45;5481.87;5481.87;5478.85;5480.36;462574805.00;115921.86;115977.13;115866.58;115901.76;2089516055.80;;;;;
23/02/2021 17:50;5479.85;5483.38;5478.85;5482.37;414239930.00;115901.76;115921.86;115806.29;115896.73;2366264118.85;;;;;
23/02/2021 17:55;5482.37;5484.89;5480.86;5481.87;504724875.00;115901.76;115901.76;115756.04;115856.53;2090104831.73;;;;;
23/02/2021 18:00;5481.87;5482.88;5477.34;5479.85;521826780.00;115851.51;115952.00;115836.43;115861.56;1425214259.89;;;;;
23/02/2021 18:05;5480.36;5481.37;5477.34;5478.34;286242105.00;115866.58;116153.00;115821.36;116052.50;2053030660.05;;;;;
23/02/2021 18:10;5478.34;5479.85;5477.34;5478.34;176916555.00;116057.52;116122.85;116037.43;116107.77;888737927.02;;;;;
23/02/2021 18:15;5479.35;5479.85;5476.83;5478.34;425055980.00;116107.77;116278.62;116087.67;116203.24;1172647876.16;;;;;
23/02/2021 18:20;5478.85;5480.36;5473.81;5474.82;441412935.00;116203.24;116323.84;116087.67;116087.67;780198412.45;;;;;
23/02/2021 18:25;5474.31;5484.89;5473.31;5482.88;458404440.00;116203.24;116323.84;116087.67;116087.67;780198412.45;;;;;
24/02/2021 09:00;5457.69;5461.22;5454.17;5459.71;2349515915.00;116087.67;116359.01;116062.55;116348.96;1987373950.86;;;;;
24/02/2021 09:05;5460.21;5464.24;5455.17;5456.68;1899717355.00;116348.96;116509.76;116313.79;116424.33;3165726637.04;;;;;
24/02/2021 09:10;5457.19;5465.25;5456.18;5462.73;1609205460.00;116419.31;116489.66;116333.89;116469.56;2449471671.62;;;;;
24/02/2021 09:15;5462.22;5463.74;5455.17;5458.20;1658457235.00;116474.58;116590.15;116424.33;116489.66;3258442355.25;;;;;
24/02/2021 09:20;5458.20;5458.70;5442.58;5443.08;4145525715.00;116489.66;116570.05;116439.41;116439.41;1967113455.57;;;;;
24/02/2021 09:25;5443.59;5443.59;5440.57;5443.08;1973772165.00;116439.41;116640.40;116429.36;116595.18;3261834292.42;;;;;
24/02/2021 09:30;5443.08;5449.63;5442.08;5447.11;2904684045.00;116595.18;116605.23;116459.51;116489.66;2268891314.94;;;;;
24/02/2021 09:35;5447.11;5447.62;5438.05;5441.57;2731110860.00;116489.66;116670.55;116384.14;116605.23;4083725395.30;;;;;
24/02/2021 09:40;5442.08;5443.59;5435.53;5439.05;2433095230.00;116605.23;116710.75;116539.90;116665.52;3627573123.80;;;;;
24/02/2021 09:45;5439.56;5440.06;5433.01;5434.52;2142502525.00;116670.55;116760.99;116640.40;116665.52;3094523567.09;;;;;
24/02/2021 09:50;5434.52;5438.05;5430.99;5435.02;2359891440.00;116660.50;116816.27;116600.20;116755.97;3544522685.65;;;;;
24/02/2021 09:55;5435.53;5444.60;5433.51;5440.57;2523843050.00;116760.99;116806.22;116625.33;116685.62;3107633106.21;;;;;
24/02/2021 10:00;5440.57;5445.60;5436.03;5443.59;2521843720.00;116685.62;116796.17;116625.33;116625.33;3395734863.48;;;;;
24/02/2021 10:05;5443.59;5448.62;5440.57;5447.62;3317366910.00;116625.33;116936.86;116494.68;116740.90;7877912530.70;;;;;
24/02/2021 10:10;5448.12;5452.15;5441.57;5442.58;3680038740.00;116735.87;116921.79;116640.40;116801.19;5849343877.33;;;;;
24/02/2021 10:15;5442.58;5459.20;5442.58;5456.18;3825203310.00;116806.22;116901.69;116504.73;116600.20;6888387564.59;;;;;
24/02/2021 10:20;5455.68;5467.26;5455.17;5460.21;3791036590.00;116600.20;116640.40;116419.31;116464.53;5313938283.62;;;;;
24/02/2021 10:25;5460.21;5462.73;5450.14;5462.22;3826967235.00;116459.51;116730.85;116389.16;116394.19;6339398708.49;;;;;
24/02/2021 10:30;5462.22;5465.75;5460.21;5461.72;2094452255.00;116394.19;116585.13;116218.32;116348.96;8126976132.65;;;;;
24/02/2021 10:35;5461.22;5471.80;5460.71;5462.73;3489983000.00;116353.99;116419.31;116142.95;116348.96;5449278070.54;;;;;
24/02/2021 10:40;5463.23;5467.77;5458.20;5461.22;2250608120.00;116348.96;116489.66;116183.14;116218.32;6008402068.86;;;;;
24/02/2021 10:45;5461.72;5472.80;5459.71;5470.79;2612929895.00;116218.32;116243.44;115977.13;116022.35;5713129720.46;;;;;
24/02/2021 10:50;5470.79;5473.81;5463.74;5465.75;2689602355.00;116022.35;116183.14;115931.90;116122.85;5703724504.41;;;;;
24/02/2021 10:55;5465.25;5470.79;5462.73;5463.23;2230334950.00;116122.85;116198.22;115846.48;116007.28;6653961125.42;;;;;
24/02/2021 11:00;5463.74;5464.24;5455.68;5456.18;3997158925.00;116012.30;116163.05;115906.78;116092.70;5932696126.96;;;;;
24/02/2021 11:05;5456.68;5465.25;5455.68;5461.22;2123469220.00;116092.70;116112.80;115926.88;116057.52;4204230521.71;;;;;
24/02/2021 11:10;5461.22;5471.29;5461.22;5466.25;2619791870.00;116052.50;116057.52;115715.84;115816.33;6278524802.00;;;;;
24/02/2021 11:15;5465.75;5477.34;5465.75;5475.32;3086671460.00;115811.31;115816.33;115640.47;115665.59;4407386337.60;;;;;
24/02/2021 11:20;5474.82;5480.36;5471.29;5473.31;3386239590.00;115670.62;115776.14;115590.22;115655.54;4775087036.98;;;;;
24/02/2021 11:25;5472.80;5476.33;5467.26;5473.81;2452008485.00;115660.57;115660.57;115469.62;115534.95;4859841240.29;;;;;
24/02/2021 11:30;5474.31;5478.85;5468.27;5477.84;3099919125.00;115534.95;115710.81;115454.55;115509.82;8025875453.95;;;;;
24/02/2021 11:35;5477.84;5484.39;5471.80;5475.32;4097294415.00;115509.82;115610.32;115313.86;115550.02;8337942726.62;;;;;
24/02/2021 11:40;5475.32;5476.83;5471.80;5473.81;1735843285.00;115550.02;115751.01;115484.70;115620.37;6378658607.66;;;;;
24/02/2021 11:45;5473.81;5478.34;5470.28;5476.83;1774144865.00;115625.39;115796.24;115529.92;115575.14;5601341419.17;;;;;
24/02/2021 11:50;5476.83;5483.38;5471.80;5482.37;2355405415.00;115580.17;115640.47;115354.05;115434.45;6239902142.66;;;;;
24/02/2021 11:55;5481.87;5482.88;5471.29;5472.30;2231683875.00;115439.48;115680.67;115414.35;115605.29;5033950445.96;;;;;
24/02/2021 12:00;5472.80;5479.85;5471.80;5473.81;1679223260.00;115605.29;115745.99;115489.72;115580.17;4636401665.09;;;;;
